iter	Passed	Remaining
411	3634	5187
412	3643	5178
413	3651	5168
414	3659	5158
415	3667	5148
416	3675	5139
417	3683	5128
418	3691	5119
419	3700	5109
420	3708	5100
421	3716	5090
422	3724	5080
423	3732	5070
424	3740	5061
425	3749	5052
426	3759	5044
427	3767	5035
428	3776	5026
429	3785	5018
430	3794	5009
431	3802	4999
432	3811	4990
433	3819	4981
434	3828	4972
435	3836	4962
436	3845	4954
437	3854	4946
438	3863	4936
439	3871	4927
440	3879	4917
441	3888	4908
442	3896	4899
443	3905	4890
444	3913	4880
445	3921	4871
446	3930	4862
447	3938	4852
448	3947	4844
449	3956	4835
450	3964	4826
451	3973	4817
452	3982	4808
453	3992	4801
454	4000	4792
455	4009	4783
456	4017	4774
457	4026	4764
458	4034	4755
459	4042	4745
460	4051	4737
461	4060	4728
462	4069	4719
463	4077	4710
464	4085	4701
465	4094	4691
466	4102	4682
467	4110	4672
468	4119	4663
469	4127	4653
470	4135	4644
471	4144	4636
472	4152	4626
473	4162	4618
474	4172	4612
475	4181	4603
476	4190	4594
477	4199	4586
478	4207	4576
479	4216	4568
480	4225	4558
481	4233	4549
482	4241	4540
483	4249	4530
484	4258	4521
485	4266	4512
486	4275	4503
487	4283	4494
488	4291	4485
489	4299	4475
490	4308	4465
491	4316	4456
492	4324	4447
493	4332	4438
494	4341	4429
495	4349	4420
496	4358	4411
497	4367	4403
498	4376	4393
499	4384	4384
500	4393	4375
501	4401	4366
502	4410	4358
503	4418	4348
504	4426	4338
505	4434	4329
506	4443	4320
507	4451	4311
508	4460	4303
509	4468	4293
510	4477	4284
511	4485	4275
512	4493	4265
513	4501	4256
514	4509	4247
515	4517	4237
516	4526	4228
517	4534	4219
518	4542	4210
519	4551	4201
520	4559	4192
521	4569	4183
522	4577	4175
523	4588	4167
524	4598	4160
525	4607	4151
526	4615	4142
527	4623	4133
528	4632	4124
529	4640	4115
530	4648	4106
531	4656	4096
532	4664	4087
533	4672	4077
534	4680	4068
535	4688	4059
536	4697	4050
537	4705	4041
538	4713	4031
539	4722	4022
540	4730	4013
541	4739	4004
542	4747	3995
543	4758	3988
544	4765	3978
545	4774	3970
546	4781	3959
547	4788	3949
548	4795	3939
549	4804	3930
550	4812	3921
551	4820	3912
552	4828	3903
553	4837	3894
554	4845	3885
555	4853	3876
556	4862	3867
557	4870	3857
558	4878	3849
559	4887	3839
560	4895	3831
561	4903	3821
562	4911	3812
563	4919	3803
564	4928	3794
565	4936	3785
566	4944	3776
567	4952	3766
568	4960	3757
569	4969	3749
570	4978	3740
571	4987	3731
572	4995	3723
573	5004	3714
574	5013	3705
575	5021	3696
576	5030	3687
577	5038	3678
578	5047	3669
579	5055	3660
580	5063	3651
581	5073	3643
582	5082	3635
583	5090	3625
584	5098	3617
585	5107	3608
586	5115	3599
587	5124	3590
588	5132	3581
589	5141	3572
590	5149	3563
591	5157	3554
592	5165	3545
593	5174	3536
594	5183	3528
595	5192	3519
596	5201	3511
597	5210	3502
598	5220	3494
599	5228	3485
600	5237	3476
601	5245	3467
602	5253	3458
603	5261	3449
604	5270	3441
605	5278	3432
606	5286	3422
607	5295	3414
608	5303	3405
609	5311	3396
610	5320	3387
611	5329	3378
612	5337	3369
613	5346	3360
614	5354	3351
615	5362	3343
616	5370	3333
617	5380	3326
618	5389	3317
619	5398	3308
620	5407	3299
621	5433	3302
622	5445	3295
623	5453	3285
624	5460	3276
625	5467	3266
626	5472	3255
627	5480	3246
628	5489	3237
629	5497	3228
630	5505	3219
631	5513	3210
632	5521	3201
633	5529	3192
634	5538	3183
635	5546	3174
636	5554	3165
637	5562	3156
638	5571	3147
639	5579	3138
640	5588	3130
641	5598	3121
642	5608	3113
643	5617	3105
644	5626	3096
645	5636	3088
646	5644	3079
647	5653	3071
648	5661	3062
649	5670	3053
650	5678	3044
651	5687	3035
652	5695	3026
653	5703	3017
654	5711	3008
655	5720	2999
656	5728	2990
657	5737	2981
658	5745	2972
659	5753	2963
660	5761	2954
661	5770	2946
662	5778	2937
663	5786	2928
664	5795	2919
665	5803	2910
666	5810	2900
667	5817	2891
668	5824	2881
669	5832	2872
670	5840	2863
671	5849	2855
672	5858	2846
673	5866	2837
674	5875	2828
675	5884	2820
676	5892	2811
677	5901	2802
678	5909	2793
679	5918	2784
680	5926	2776
681	5934	2767
682	5942	2758
683	5950	2749
684	5959	2740
685	5967	2731
686	5975	2722
687	5984	2713
688	5992	2704
689	6001	2696
690	6009	2687
691	6018	2678
692	6027	2670
693	6037	2661
694	6044	2652
695	6053	2644
696	6062	2635
697	6071	2626
698	6079	2617
699	6087	2608
700	6095	2599
701	6103	2591
702	6111	2582
703	6120	2573
704	6128	2564
705	6137	2555
706	6146	2547
707	6153	2538
708	6162	2529
709	6170	2520
710	6178	2511
711	6186	2502
712	6195	2493
713	6203	2484
714	6213	2476
715	6221	2467
716	6230	2459
717	6239	2450
718	6249	2442
719	6257	2433
720	6265	2424
721	6273	2415
722	6281	2406
723	6290	2397
724	6298	2389
725	6306	2380
726	6314	2371
727	6323	2362
728	6331	2353
729	6339	2344
730	6347	2335
731	6356	2327
732	6364	2318
733	6373	2309
734	6381	2300
735	6390	2292
736	6398	2283
737	6407	2274
738	6417	2266
739	6425	2257
740	6434	2248
741	6443	2240
742	6452	2231
743	6460	2223
744	6469	2214
745	6478	2205
746	6486	2196
747	6494	2188
748	6503	2179
749	6511	2170
750	6519	2161
751	6528	2152
752	6536	2144
753	6544	2135
